junction,lat,long,junction_corrected
JayadevaHospitalJunc,12.917,77.601,Jayadeva Hospital Junction
GokuldasImagesJunc,,,Gokuldas Images Junction
BigBazaarJunction(OldMadrasRd),12.987,77.653,Big Bazaar Junctiontion(Old Madras Road)
KalyanNagar-ORR Junc,13.025,77.637,Kalyan Nagar - Outer Ring Road Junction
Minerva Circle,12.953,77.584,Minerva Circle
ModiHospital,12.992,77.544,Modi Hospital
Batrayanapura(Amrutahalli)Junction,13.06,77.593,Batrayanapura(Amrutahalli) Junctiontion
Dr RajkumarRd-10thCrossRdJunc,13.003,77.553,Dr Rajkumar Road - 10th Cross Road Junction
D'SouzaCircle,12.967,77.604,D'Souza Circle
BloodBankCircle,12.937,77.592,Blood Bank Circle
KoramangalaWaterTankJunc,12.929,77.625,Koramangala Water Tank Junction
TataInstituteCircle,13.016,77.567,Tata Institute Circle
TownhallJunction,12.964,77.585,Townhall Junctiontion
BMTCJunction-K H Road,12.956,77.589,BMTC Junctiontion - K H Road
Shivashankara circle,,,Shivashankara circle
PES-DevegowdaCircle,12.926,77.544,PES - Devegowda Circle
HesaraghattaJunction,13.045,77.511,Hesaraghatta Junctiontion
toll gate mysore road,12.955,77.545,toll gate mysore road
ISRO Junction-Airport rd,12.956,77.643,ISRO Junctiontion - Airport rd
WilsonGarden12thCrossJunc,12.946,77.596,Wilson Garden12th Cross Junction
SatteliteBusStandJunc,12.954,77.538,Sattelite Bus Stand Junction
PeenyaPoliceStation,13.031,77.522,Peenya Police Station
Chokasandra (Tumkur road),13.041,77.509,Chokasandra (Tumkur road)
27th Cross Jayanagar(Ganapathi Temple),12.926,77.583,27th Cross Jayanagar(Ganapathi Temple)
Malleswaram18thCrossRd-SampigeRdJunc,13.008,77.57,Malleswaram18th Cross Road - Sampige Road Junction
Arbindo Circle,12.915,77.589,Arbindo Circle
NaganathapuraJunction,12.871,77.653,Naganathapura Junctiontion
CommandoHospitalJunc,12.964,77.626,Commando Hospital Junction
PoliceCornerJunc,,,Police Corner Junction
FTI Junction(KanteeravaStudio),13.023,77.542,FTI Junctiontion(Kanteerava Studio)
WebbsCircle,12.973,77.611,Webbs Circle
BilekahalliJunc,12.899,77.601,Bilekahalli Junction
Bommanahalli,12.902,77.624,Bommanahalli
Ashoknagar Junction(ShoolayCircle),12.968,77.605,Ashoknagar Junctiontion(Shoolay Circle)
Srigandakaval,12.976,77.51,Srigandakaval
BanashankariBusStandJunc,12.918,77.573,Banashankari Bus Stand Junction
MargosaRd-18thCrossJunc,13.007,77.568,Margosa Road - 18th Cross Junction
UlsoorGateJunc,12.97,77.585,Ulsoor Gate Junction
SRS Peenya Junc,13.026,77.529,SRS Peenya Junction
BHEL Gate,12.946,77.536,BHEL Gate
Kammanahalli-RingRoadJunction,13.013,77.64,Kammanahalli - Ring Road Junctiontion
StateBankofMysoreJunc,,,State Bankof Mysore Junction
MeenakshiMallJunc,12.876,77.595,Meenakshi Mall Junction
KanakapuraRd-RingRdJunction,12.906,77.574,Kanakapura Road - Ring Road Junctiontion
JakkurCrossJunction,13.076,77.601,Jakkur Cross Junctiontion
NandiCross(RaniCross),13.242,77.689,Nandi Cross(Rani Cross)
PlatformRdJunction,12.987,77.568,Platform Road Junctiontion
Marigowda-TavarkereRdJunc,12.929,77.608,Marigowda - Tavarkere Road Junction
Devasandra(k r puram),13.007,77.701,Devasandra(k r puram)
BagalurCrossJunc,13.111,77.602,Bagalur Cross Junction
OldMadrasRd-SuddaguntepalyaRdJunc,12.984,77.639,Old Madras Road - Suddaguntepalya Road Junction
ShantalaJunction,12.966,77.591,Shantala Junctiontion
OldMadrasRd-NGEF Junc,12.989,77.649,Old Madras Road - NGEF Junction
Deverabeesanahalli-ORR Junc,12.929,77.683,Deverabeesanahalli - Outer Ring Road Junction
JalahalliCross(SM Circle),13.045,77.525,Jalahalli Cross(SM Circle)
SagarTheatreJunc,12.976,77.582,Sagar Theatre Junction
HunsemarammanahalliJunction,13.136,77.616,Hunsemarammanahalli Junctiontion
KundanahalliGateJunc,12.956,77.714,Kundanahalli Gate Junction
SiddalingaiahCircle,12.973,77.595,Siddalingaiah Circle
HopefarmJunction,12.983,77.749,Hopefarm Junctiontion
RRR(Okalipuram)Junction,12.983,77.56,RRR(Okalipuram) Junctiontion
ElectronicCityGate-2Junc,12.844,77.669,Electronic City Gate - 2 Junction
Shivajinagar(BRV)Junction,12.981,77.6,Shivajinagar(BRV) Junctiontion
5thMainHSR,12.915,77.636,5th Main HSR
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),12.954,77.592,K H Road - Siddaiah Road Junction(BMTC - Big Bazaar)
MaratahalliBridgeJunc,12.956,77.698,Maratahalli Bridge Junction
GowdanapalyaJunction,12.899,77.556,Gowdanapalya Junctiontion
TyagiHengalvarayaJunc(DickensonRd),12.982,77.615,Tyagi Hengalvaraya Junction(Dickenson Road)
EliteJunc,,,Elite Junction
Jaipuria-Adugodi,,,Jaipuria - Adugodi
OldPoliceStation-Ashoknagar,12.971,77.609,Old Police Station - Ashoknagar
Nagavara-ORR Junction,13.042,77.624,Nagavara - Outer Ring Road Junctiontion
MS RamaiahJunc(TollGate),13.029,77.568,MS Ramaiah Junction(Toll Gate)
LinkRoadMalleswaramJunc,12.993,77.574,Link Road Malleswaram Junction
YelhankaBypass,13.111,77.592,Yelhanka Bypass
TamarikannanJunc,,,Tamarikannan Junction
Basveshwarnagar 8th main Junction,12.996,77.538,Basveshwarnagar 8th main Junctiontion
GarebhavipalyaJunc,12.893,77.635,Garebhavipalya Junction
A S CharStreet-MysoreRdJunc,12.961,77.571,A S Char Street - Mysore Road Junction
Dr TCM RoyanRd near AmbedkarStatue,12.962,77.569,Dr TCM Royan Road near Ambedkar Statue
MC Circle,12.923,77.581,MC Circle
South end circle,12.936,77.578,South end circle
HalliThindi,12.924,77.569,Halli Thindi
BinnyMillJunction,12.966,77.557,Binny Mill Junctiontion
SandeepUnnikrishnan-Yelhanka,13.095,77.582,Sandeep Unnikrishnan - Yelhanka
29thMainRdBTM LayoutJunc,12.915,77.608,29th Main Road BTM Layout Junction
KogilluCrossJunc,13.098,77.596,Kogillu Cross Junction
DomlurWaterTank,12.962,77.638,Domlur Water Tank
ShivandaCircle,12.986,77.581,Shivanda Circle
DoddaballapuraCrossJunc,13.109,77.582,Doddaballapura Cross Junction
KuvempuCircle,13.003,77.549,Kuvempu Circle
KamrajRdJunction,12.983,77.606,Kamraj Road Junctiontion
MayohallJunction,12.973,77.61,Mayohall Junctiontion
ShankarMuttCircle,12.992,77.542,Shankar Mutt Circle
"KuvempuCircleJunc,HAL MainGate",12.956,77.659,"Kuvempu Circle Junction,HAL Main Gate"
RajeshwariJunc,,,Rajeshwari Junction
OldMadrasRd-Indranagar100ftRdJunc,12.978,77.639,Old Madras Road - Indranagar100ft Road Junction
DevanahalliCrossJunc,13.245,77.712,Devanahalli Cross Junction
BTM16thMain-ORR Junc,12.916,77.61,BTM16th Main - Outer Ring Road Junction
RajajinagarEntranceJunction,12.996,77.551,Rajajinagar Entrance Junctiontion
MillCornerRd-SampigeRdJunc,12.99,77.571,Mill Corner Road - Sampige Road Junction
SarjapurRd-St JohnsRdJunc,12.931,77.625,Sarjapur Road - St Johns Road Junction
HudsonCircle,12.967,77.587,Hudson Circle
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),12.989,77.597,Chaudraya Circle/Udaya TV Circle(Cantonment Junction)
Yemalur cross junc,12.946,77.674,Yemalur cross junc
MinskSquare(CTO Junction),12.98,77.597,Minsk Square(CTO Junctiontion)
Kadubeesanahalli-ORR Junc,12.939,77.695,Kadubeesanahalli - Outer Ring Road Junction
KarnatakaBhavanJunction,,,Karnataka Bhavan Junctiontion
SadashivnagarJunc,13.008,77.579,Sadashivnagar Junction
HoramavuJunction,13.032,77.653,Horamavu Junctiontion
"Bellandur Junction, Outer ring road",12.929,77.672,"Bellandur Junctiontion, Outer ring road"
KensingtonOvalJunc,12.985,77.62,Kensington Oval Junction
LowerAgaram(IndiaGarage)Junc,12.964,77.625,Lower Agaram(India Garage) Junction
ShivajiTalkiesJunc,12.965,77.579,Shivaji Talkies Junction
LRDE Junction,12.991,77.608,LRDE Junctiontion
BEL Circle,13.045,77.547,BEL Circle
OldMadrasRd-DoubleRdJunc,12.976,77.643,Old Madras Road - Double Road Junction
ChandraLayoutJunc-nearWaterTank,12.959,77.525,Chandra Layout Junction - near Water Tank
Nagarbhavi,12.965,77.511,Nagarbhavi
Indiranasgar13thMainJunc,12.974,77.643,Indiranasgar13th Main Junction
AshirwadamCircle,,,Ashirwadam Circle
Kudlu Gate Junc,12.894,77.644,Kudlu Gate Junction
KIMCO Junction,12.953,77.533,KIMCO Junctiontion
N R SquareJunc,12.965,77.585,N R Square Junction
GoruguntepalyaJunc,13.028,77.538,Goruguntepalya Junction
UCO Bank(Forum),12.934,77.613,UCO Bank(Forum)
JohnsonMarket,12.962,77.605,Johnson Market
DhobiGhatJunc,12.951,77.558,Dhobi Ghat Junction
AnilKumbleCircle,12.975,77.602,Anil Kumble Circle
RamamurthyNagarJunction,13.013,77.674,Ramamurthy Nagar Junctiontion
AttiguppeCircleJunction,12.96,77.531,Attiguppe Circle Junctiontion
NIMHANS Junction,12.937,77.596,NIMHANS Junctiontion
VetenaryHospitalJunc-Shivajinagar,12.988,77.595,Vetenary Hospital Junction - Shivajinagar
MotherTeressaCircle,,,Mother Teressa Circle
TumkurRdMarappanapalyaJunc,13.023,77.543,Tumkur Road Marappanapalya Junction
Ring road-Near Kengunte Junction,12.958,77.502,Ring road - Near Kengunte Junctiontion
AgaraJunction,12.924,77.649,Agara Junctiontion
OldMadrasRd-80FeetRdJunc,12.981,77.643,Old Madras Road - 80Feet Road Junction
Srinivagilu(Ejipura)Junc,12.943,77.632,Srinivagilu(Ejipura) Junction
AdugodiJunc,12.943,77.61,Adugodi Junction
BEML GateJunc(SuranjandasRd),12.969,77.659,BEML Gate Junction(Suranjandas Road)
GorappanapalyaJunction,13.021,77.539,Gorappanapalya Junctiontion
NavarangTheatreJunction,12.996,77.552,Navarang Theatre Junctiontion
UttarahalliJunction,12.905,77.537,Uttarahalli Junctiontion
SadahalliGateJunc(AirportRd),13.22,77.669,Sadahalli Gate Junction(Airport Road)
HSR14thMainJunc,12.912,77.634,HSR14th Main Junction
Fire Force Junction,12.976,77.616,Fire Force Junctiontion
KodigehalliCross,13.061,77.585,Kodigehalli Cross
ItmaduJunction,12.923,77.54,Itmadu Junctiontion
BegumMahalJunc,12.972,77.618,Begum Mahal Junction
HoodiJunction,12.992,77.716,Hoodi Junctiontion
ShivanahalliJunctionWOC,13.007,77.548,Shivanahalli Junctiontion WOC
NCERT Junction,12.93,77.542,NCERT Junctiontion
KadirenahalliJunction,12.915,77.558,Kadirenahalli Junctiontion
Krupanidhi College,12.906,77.678,Krupanidhi College
PrasannaJunction,12.981,77.543,Prasanna Junctiontion
TC Palya-OM RoadJunc,13.018,77.697,TC Palya - OM Road Junction
TVS CrossJunction,13.031,77.518,TVS Cross Junctiontion
NTTF JunctionPeenya,13.036,77.514,NTTF Junctiontion Peenya
Peenya2ndStageBusStand,13.022,77.513,Peenya2nd Stage Bus Stand
"Narayanapura cross, Hegde nagar",13.064,77.632,"Narayanapura cross, Hegde nagar"
"Jayanagar 4th main,36th cross",12.923,77.584,"Jayanagar 4th main,36th cross"
OperaHouseJunc,12.974,77.606,Opera House Junction
UniversityJunc(Janabharti),12.946,77.502,University Junction(Janabharti)
JaiMuniRaoCircle,,,Jai Muni Rao Circle
RamaiahCircle-UlsoorPoliceStation,12.976,77.625,Ramaiah Circle - Ulsoor Police Station
SonyworldJunction,12.935,77.627,Sonyworld Junctiontion
SwagathMainRd-EastEndRdJunc,12.926,77.592,Swagath Main Road - East End Road Junction
BhashyamCircle-SadashivNagar,13.007,77.578,Bhashyam Circle - Sadashiv Nagar
CashPharmacyJunction,12.97,77.6,Cash Pharmacy Junctiontion
BiryandCircle,,,Biryand Circle
Rajajinagagr1stBlockJunction,13.003,77.556,Rajajinagagr1st Block Junctiontion
ASC Junction,12.964,77.636,ASC Junctiontion
DevegowdaPetrolBunkJunc,12.926,77.544,Devegowda Petrol Bunk Junction
GopalGowdaJUnc,,,Gopal Gowda J Unc
GovindapuraCross,13.021,77.618,Govindapura Cross
MysoreRd--MadhuPetrolBunkJunction,12.955,77.541,Mysore Road - - Madhu Petrol Bunk Junctiontion
DairyCircle,12.936,77.6,Dairy Circle
Rajajinagar19thMainJunc,12.99,77.554,Rajajinagar19th Main Junction
HennurRd-DavisRdJunction,13.005,77.624,Hennur Road - Davis Road Junctiontion
SiddapuraJunction,12.942,77.585,Siddapura Junctiontion
K R MarketJunction,12.962,77.575,K R Market Junctiontion
KonanakunteJunction(KanakapurarRd),12.883,77.574,Konanakunte Junctiontion(Kanakapurar Road)
RoyanCircle-Chamrajpete,12.962,77.568,Royan Circle - Chamrajpete
AnjaneyaTempleJunc,12.981,77.59,Anjaneya Temple Junction
BasavamantapaJunc-Dr RajkumarRd,13.003,77.554,Basavamantapa Junction - Dr Rajkumar Road
Basappa Circle Junction,12.962,77.588,Basappa Circle Junctiontion
ChandrikaJunction,12.985,77.591,Chandrika Junctiontion
BM ShriJunc(CMH-100FtRd)Junc,12.978,77.639,BM Shri Junction(CMH - 100Ft Road) Junction
ManipalCentreJunc,12.975,77.616,Manipal Centre Junction
Arts&CraftsCircle,12.975,77.607,Arts&Crafts Circle
DevangaHostelJunction,12.966,77.585,Devanga Hostel Junctiontion
17th Mn 1st Crs Aishwarya Stores Jn,,,17th Mn 1st Crs Aishwarya Stores Jn
BDA Junctio-Koramangala,12.933,77.625,BDA Junctiontio - Koramangala
WiproJunc-Koramangala,12.933,77.625,Wipro Junction - Koramangala
GangammagudiJunc,13.064,77.545,Gangammagudi Junction
BasaweshwaraCircle,12.985,77.585,Basaweshwara Circle
MarenahalliRd-18thMainRdJunc,12.92,77.584,Marenahalli Road - 18th Main Road Junction
CholurpalyaJunction(MagadiRd),12.969,77.549,Cholurpalya Junctiontion(Magadi Road)
KCG HospitalJunction,12.984,77.568,KCG Hospital Junctiontion
DickensonRd-AdigasJunc,12.98,77.615,Dickenson Road - Adigas Junction
AnandRaoJunction,12.978,77.578,Anand Rao Junctiontion
SagarHospitalJunc,12.93,77.599,Sagar Hospital Junction
VijayanagarBusStandJunction,12.966,77.538,Vijayanagar Bus Stand Junctiontion
BhashyamCircle,13.007,77.578,Bhashyam Circle
PuttammaChoultryNagarbhavi,12.967,77.509,Puttamma Choultry Nagarbhavi
OldMadrasRd-BMTC DepotJunc,12.983,77.643,Old Madras Road - BMTC Depot Junction
ColesParkJunc,12.992,77.608,Coles Park Junction
LalbaghWestGate,12.951,77.579,Lalbagh West Gate
KamakyaJunction,12.923,77.542,Kamakya Junctiontion
CMH Rd-AdarshTheaterJunc,12.978,77.633,CMH Road - Adarsh Theater Junction
Devanahalli new bus stand,13.245,77.713,Devanahalli new bus stand
RajarajeshwariKalyanaMantapaJunc,12.99,77.551,Rajarajeshwari Kalyana Mantapa Junction
CIL CrossJunction-JayamahalRd,13.008,77.591,CIL Cross Junctiontion - Jayamahal Road
NationalCollege,12.949,77.573,National College
DMRoadJunc(Basavangudi),12.946,77.577,DM Road Junction(Basavangudi)
YediyurMeternityHospital,12.935,77.576,Yediyur Meternity Hospital
J D MaraJunc,12.903,77.596,J D Mara Junction
5thMainRPC Layout-Vijayanagar,12.966,77.535,5th Main RPC Layout - Vijayanagar
JP Nagar 9th cross-24th main jn,12.91,77.589,JP Nagar 9th cross - 24th main jn
Geethanjali jn,12.965,77.653,Geethanjali jn
ISRO Junction-NewBEL Rd,13.029,77.573,ISRO Junctiontion - New BEL Road
MaharajaJunction,12.964,77.585,Maharaja Junctiontion
UpparpetJunction,12.976,77.574,Upparpet Junctiontion
HosmatJunction,12.968,77.616,Hosmat Junctiontion
ESI(k r puram),13.005,77.701,ESI(k r puram)
KHB Junction,12.956,77.592,KHB Junctiontion
MSRamaiahHospitalJunc,13.029,77.568,MS Ramaiah Hospital Junction
ThomasCafe-New,13.003,77.613,Thomas Cafe - New
K G Junction,12.976,77.574,K G Junctiontion
Geeta Circle,,,Geeta Circle
BrigadeMillenium,12.894,77.584,Brigade Millenium
NagaTheaterJunc-Ulsoor,12.979,77.625,Naga Theater Junction - Ulsoor
SafinaPlazaJunc,12.981,77.606,Safina Plaza Junction
